NUMPED;NUMITEM;CODPROD;QTDE;VALUNIT;UNID;ALIQICMS;COMISSAO;STICMS;CFOP;REDUCBASEICMS
553479;2;110;1.63;36.23;Kg;12;0;0;5102;0
553479;3;106;0.64;26.6;Kg;18;0;20;5102;33.33
553479;4;227;5;18.17;Kg;0;0;60;5405;0
553481;1;446;1;12.66;Un;0;0;60;5405;0
553645;1;871;12;126;Un;0;3;0;5102;0
553916;1;117;2.3;62;Kg;18;0;20;5102;33.33
553916;2;181;1.58;42.12;Kg;18;0;20;5102;33.33
553916;3;193;4;11.75;Lt;18;0;20;5102;33.33
553916;4;105;4;16;Un;18;0;20;5102;33.33
553916;5;301;1;82.84;Un;18;0;0;5102;0
553482;1;877;4;31.9;Un;18;0;20;5102;33.33
553482;2;101;8;5.16;Un;0;0;60;5405;0
553482;3;992;24;5.3;Lt;12;2;60;5405;0
553482;4;465;3;52.7;Un;0;0;0;5102;0
553482;5;217;7;29.08;Kg;0;0;60;5405;0
553482;6;159;3.95;37.12;Kg;18;0;20;5102;33.33
553482;7;114;6.8;37.12;Kg;18;0;20;5102;33.33
553482;8;129;5;30.51;Un;18;0;20;5102;33.33
553482;9;117;1.28;62;Kg;18;0;20;5102;33.33
553482;10;554;2;31.27;Un;18;0;20;5102;33.33
553483;1;554;6;31.27;Un;18;0;20;5102;33.33
553646;1;719;0.16;214.99;Kg;18;0;0;5102;0
553646;2;107;3.75;51.9;Kg;18;0;20;5102;33.33
553646;3;442;1;27.93;Bd;0;0;0;5102;0
553646;4;375;1;64.35;Un;18;0;20;5102;33.33
553647;1;122;1.536;39.9;Kg;12;0;0;5102;0
553647;2;213;0.712;25.9;Kg;0;0;0;5102;0
553484;1;925;1;22.8;Un;18;0;20;5102;12
553486;1;194;0.952;53.18;Kg;12;0;0;5102;0
553486;2;2086;1;16.2;;0;0;60;5405;0
553486;3;126;0.44;11.62;Kg;18;0;20;5102;33.33
553486;4;124;1;16.47;Un;18;0;20;5102;33.33
553486;5;100;0.998;35.31;Kg;12;0;0;5102;0
553487;1;510;5;16.82;Kg;18;0;20;5102;61.11
553488;1;884;1;2.5;Un;0;0;0;5102;0
553488;2;818;1;2.5;Un;0;0;0;5102;0
553488;3;818;1;2.5;Un;0;0;0;5102;0
553489;1;884;2;2.5;Un;0;0;0;5102;0
553490;1;516;2;23.5;Kg;18;0;20;5102;33.33
553490;2;516;1;23.5;Kg;18;0;20;5102;33.33
553490;3;516;1;23.5;Kg;18;0;20;5102;33.33
553490;4;479;1;87.32;Kg;18;0;20;5102;33.33
553490;5;478;1;84.96;Kg;18;0;20;5102;33.33
553490;6;497;2.03;68.2;Kg;18;0;20;5102;33.33
553490;7;325;2.128;57.12;Kg;18;0;20;5102;33.33
555117;1;100;8.3;34.16;Kg;12;0;0;5102;0
555117;2;196;1.1;26.79;Kg;18;0;20;5102;33.33
553491;1;310;60;12.4;Kg;18;3;20;5102;33.33
553491;2;313;45;20;Kg;18;3;20;5102;33.33
553491;3;382;20;44;Un;18;3;20;5102;33.33
553491;4;389;14;47;Bd;18;3;20;5102;33.33
553491;5;441;30;8;Bd;0;3;0;5102;0
553491;6;440;4;26.5;Bd;0;3;0;5102;0
553491;7;442;50;24.5;Bd;0;3;0;5102;0
553491;8;302;24;35.64;Bd;18;3;20;5102;33.33
553491;9;435;20;23;Un;18;3;20;5102;12
553491;10;480;3;24;Bd;18;3;0;5102;0
553491;11;420;5;42;Bd;18;3;20;5102;33.33
553492;1;313;0.6;23.2;Kg;18;0;20;5102;33.33
553492;2;150;3.22;38.28;Kg;18;0;20;5102;33.33
553492;3;567;0.404;86.5;Kg;0;0;60;5405;0
553648;13;320;6;64.9;Un;18;3;20;5102;33.33
553648;14;432;30;12;Un;18;3;0;5102;0
553648;15;442;60;24.5;Bd;0;3;0;5102;0
553648;16;440;10;26.5;Bd;0;3;0;5102;0
553648;17;441;30;8;Bd;0;3;0;5102;0
553648;18;482;36;3.5;Un;12;3;0;5102;0
553648;19;491;6;21.6;Bd;18;3;20;5102;33.33
553648;20;493;4;21.6;Bd;18;3;20;5102;33.33
553648;21;307;24;40;Un;18;3;20;5102;33.33
553648;22;382;10;44;Un;18;3;20;5102;33.33
553648;23;420;5;42;Bd;18;3;20;5102;33.33
553648;24;1039;12;8.4;Un;0;3;60;5405;0
553648;25;380;25;4.35;Un;0;3;60;5405;0
553648;26;353;25;4.35;Un;0;3;60;5405;0
553648;27;2277;15;7;Un;12;3;0;5102;0
553648;28;397;24;10.2;Un;0;3;60;5405;0
553648;29;2016;15;6.4;Un;0;3;60;5405;0
553648;30;671;12;17.4;Un;0;3;60;5405;0
553648;31;973;24;10.5;Un;0;3;60;5405;0
553648;32;404;15;9.83;Un;0;3;60;5405;0
553648;33;755;15;13.1;Un;0;3;60;5405;0
553648;34;173;24;11.74;Kg;18;3;20;5102;61.11
553648;35;267;18;22;Un;18;3;20;5102;33.33
553648;1;310;60;12.4;Kg;18;3;20;5102;33.33
