CODCLIFOR;TIPOCF;CODREPRES;NOMEFAN;CIDADE;UF;CODMUNICIPIO;TIPOPESSOA;COBRBANC;PRAZOPGTO
1301;1;27;Cliente 1301;SÃO PAULO;SP;3550308;2;-1;14
1303;1;9;Cliente 1303;SÃO PAULO;SP;3550308;2;-1;14
1304;1;9;Cliente 1304;SÃO PAULO;SP;3550308;2;-1;14
1305;1;9;Cliente 1305;SÃO PAULO;SP;3550308;2;-1;14
1307;1;30;Cliente 1307;SÃO PAULO;SP;3550308;2;-1;7
1308;1;9;Cliente 1308;SÃO PAULO;SP;3550308;2;-1;21
1309;1;9;Cliente 1309;SÃO PAULO;SP;3550308;2;0;0
1310;1;27;Cliente 1310;SÃO PAULO;SP;3550308;2;-1;7
1311;1;27;Cliente 1311;SÃO PAULO;SP;3550308;2;-1;10
1312;1;32;Cliente 1312;SÃO PAULO;SP;3550308;2;-1;14
1313;1;9;Cliente 1313;SÃO PAULO;SP;3550308;2;0;0
1314;1;27;Cliente 1314;SÃO PAULO;SP;3550308;2;-1;10
1315;1;9;Cliente 1315;SÃO PAULO;SP;3550308;2;-1;14
1316;1;9;Cliente 1316;DIADEMA;SP;3513801;2;-1;14
1317;1;9;Cliente 1317;SÃO PAULO;SP;3550308;2;-1;14
1319;1;27;Cliente 1319;SÃO PAULO;SP;3550308;2;-1;14
1320;1;9;Cliente 1320;SÃO PAULO;SP;3550308;2;-1;28
1321;1;9;Cliente 1321;SÃO PAULO;SP;3550308;2;-1;14
1322;1;9;Cliente 1322;SÃO PAULO;SP;3550308;2;-1;14
1323;1;27;Cliente 1323;SÃO PAULO;SP;3550308;2;-1;14
1324;1;9;Cliente 1324;SÃO PAULO;SP;3550308;2;-1;14
1325;1;11;Cliente 1325;SÃO PAULO;SP;3550308;2;-1;14
1326;1;28;Cliente 1326;SÃO PAULO;SP;3550308;2;-1;14
1327;1;4;Cliente 1327;UBATUBA;SP;3555406;2;-1;14
1328;1;9;Cliente 1328;SÃO PAULO;SP;3550308;2;-1;14
1329;1;28;Cliente 1329;SÃO PAULO;SP;3550308;2;-1;14
1330;1;27;Cliente 1330;SÃO PAULO;SP;3550308;2;-1;14
1331;1;11;Cliente 1331;SÃO PAULO;SP;3550308;2;-1;14
1332;1;9;Cliente 1332;SÃO PAULO;SP;3550308;2;-1;21
1334;1;28;Cliente 1334;SÃO PAULO;SP;3550308;2;0;0
1336;1;9;Cliente 1336;SÃO PAULO;SP;3550308;2;-1;14
1337;1;30;Cliente 1337;SÃO PAULO;SP;3550308;2;-1;21
1338;1;27;Cliente 1338;SÃO PAULO;SP;3550308;2;-1;14
1339;1;32;Cliente 1339;SÃO PAULO;SP;3550308;2;-1;7
1341;1;9;Cliente 1341;SÃO PAULO;SP;3550308;2;-1;28
1344;1;30;Cliente 1344;SÃO PAULO;SP;3550308;2;-1;14
1346;1;9;Cliente 1346;SÃO PAULO;SP;3550308;2;-1;21
1347;1;29;Cliente 1347;SÃO PAULO;SP;3550308;2;-1;14
1348;1;9;Cliente 1348;SÃO PAULO;SP;3550308;2;-1;14
1349;1;4;Cliente 1349;UBATUBA;SP;3555406;2;-1;14
1350;1;28;Cliente 1350;SÃO PAULO;SP;3550308;2;0;0
1351;1;27;Cliente 1351;SÃO PAULO;SP;3550308;2;-1;14
1352;1;6;Cliente 1352;SÃO PAULO;SP;3550308;2;0;0
1353;1;9;Cliente 1353;SÃO PAULO;SP;3550308;2;-1;14
1354;1;27;Cliente 1354;SÃO PAULO;SP;3550308;2;-1;7
1356;1;27;Cliente 1356;SÃO PAULO;SP;3550308;2;-1;14
1357;1;9;Cliente 1357;SÃO PAULO;SP;3550308;2;0;14
1358;1;9;Cliente 1358;SÃO PAULO;SP;3550308;2;-1;7
1359;1;9;Cliente 1359;SAO PAULO;SP;3550308;2;0;0
1360;1;27;Cliente 1360;SÃO PAULO;SP;3550308;2;-1;10
1361;1;27;Cliente 1361;SÃO PAULO;SP;3550308;2;-1;7
1362;1;27;Cliente 1362;SÃO PAULO;SP;3550308;2;-1;14
1363;1;11;Cliente 1363;SÃO PAULO;SP;3550308;2;-1;14
