CODCLIFOR;TIPOCF;CODREPRES;NOMEFAN;CIDADE;UF;CODMUNICIPIO;TIPOPESSOA;COBRBANC;PRAZOPGTO
1611;1;28;Cliente 1611;SÃO PAULO;SP;3550308;2;-1;7
1612;1;28;Cliente 1612;SÃO PAULO;SP;3550308;2;-1;14
1613;1;11;Cliente 1613;SÃO PAULO;SP;3550308;2;-1;7
1614;1;9;Cliente 1614;SÃO PAULO;SP;3550308;2;-1;0
1615;1;9;Cliente 1615;SÃO PAULO;SP;3550308;2;-1;21
1616;1;9;Cliente 1616;SÃO PAULO;SP;3550308;2;-1;14
1618;1;9;Cliente 1618;SÃO PAULO;SP;3550308;2;-1;7
1620;1;27;Cliente 1620;SÃO PAULO;SP;3550308;2;-1;14
1623;1;27;Cliente 1623;SÃO PAULO;SP;3550308;2;-1;14
1624;1;28;Cliente 1624;SÃO PAULO;SP;3550308;2;-1;14
1625;1;9;Cliente 1625;SÃO PAULO;SP;3550308;2;-1;14
1626;1;4;Cliente 1626;UBATUBA;SP;3555406;2;-1;14
1627;1;28;Cliente 1627;SÃO PAULO;SP;3550308;2;0;7
1628;1;28;Cliente 1628;SÃO PAULO;SP;3550308;2;-1;14
1629;1;9;Cliente 1629;SÃO PAULO;SP;3550308;2;-1;0
1630;1;9;Cliente 1630;SÃO PAULO;SP;3550308;2;-1;21
1631;1;27;Cliente 1631;SÃO PAULO;SP;3550308;2;-1;14
1633;1;9;Cliente 1633;SÃO PAULO;SP;3550308;2;-1;14
1634;1;9;Cliente 1634;SÃO PAULO;SP;3550308;2;-1;21
1635;1;9;Cliente 1635;SÃO PAULO;SP;3550308;2;-1;14
1636;1;9;Cliente 1636;SÃO PAULO;SP;3550308;2;-1;7
1638;1;9;Cliente 1638;SÃO PAULO;SP;3550308;2;0;0
1639;1;9;Cliente 1639;SÃO PAULO;SP;3550308;2;-1;14
1640;1;29;Cliente 1640;SÃO PAULO;SP;3550308;2;-1;14
1641;1;9;Cliente 1641;SÃO PAULO;SP;3550308;2;-1;28
1642;1;27;Cliente 1642;SÃO PAULO;SP;3550308;2;-1;14
1643;1;11;Cliente 1643;SÃO PAULO;SP;3550308;2;-1;14
1644;1;11;Cliente 1644;SÃO PAULO;SP;3550308;2;-1;14
1645;1;27;Cliente 1645;SÃO PAULO;SP;3550308;2;-1;14
1646;1;28;Cliente 1646;SÃO PAULO;SP;3550308;2;-1;21
1647;1;30;Cliente 1647;SÃO PAULO;SP;3550308;2;-1;14
1648;1;27;Cliente 1648;SÃO PAULO;SP;3550308;2;-1;14
1649;1;32;Cliente 1649;SÃO PAULO;SP;3550308;2;0;7
1650;1;30;Cliente 1650;SÃO PAULO;SP;3550308;2;0;14
1652;1;9;Cliente 1652;SÃO PAULO;SP;3550308;2;0;7
1653;1;27;Cliente 1653;SÃO PAULO;SP;3550308;2;-1;14
1654;1;9;Cliente 1654;SÃO PAULO;SP;3550308;2;-1;14
1655;1;9;Cliente 1655;SÃO PAULO;SP;3550308;2;-1;14
1657;1;11;Cliente 1657;SÃO PAULO;SP;3550308;2;0;0
1658;1;29;Cliente 1658;SÃO PAULO;SP;3550308;2;-1;21
1659;1;9;Cliente 1659;SÃO PAULO;SP;3550308;2;0;
1660;1;9;Cliente 1660;SÃO PAULO;SP;3550308;2;-1;7
1661;1;11;Cliente 1661;SÃO PAULO;SP;3550308;2;-1;14
1662;1;9;Cliente 1662;SÃO PAULO;SP;3550308;2;-1;14
1663;1;29;Cliente 1663;SÃO PAULO;SP;3550308;2;-1;14
1664;1;28;Cliente 1664;SÃO PAULO;SP;3550308;2;-1;21
1665;1;31;Cliente 1665;SAO PAULO;SP;0;1;-1;0
1666;1;9;Cliente 1666;SÃO PAULO;SP;3550308;2;0;0
1667;1;28;Cliente 1667;SÃO PAULO;SP;3550308;2;-1;14
1668;1;28;Cliente 1668;SÃO PAULO;SP;3550308;2;-1;14
1669;1;4;Cliente 1669;UBATUBA;SP;3555406;2;-1;13
1670;1;9;Cliente 1670;SÃO PAULO;SP;3550308;2;-1;14
1672;1;30;Cliente 1672;SÃO PAULO;SP;3550308;2;-1;14
1673;1;9;Cliente 1673;SÃO PAULO;SP;3550308;2;-1;7
1674;1;9;Cliente 1674;SÃO PAULO;SP;3550308;2;-1;14
1675;1;9;Cliente 1675;SÃO PAULO;SP;3550308;2;-1;14
1676;1;27;Cliente 1676;SÃO PAULO;SP;3550308;2;-1;7
1677;1;9;Cliente 1677;SÃO PAULO;SP;3550308;2;-1;14
1678;1;27;Cliente 1678;SÃO PAULO;SP;3550308;2;-1;14
1680;1;9;Cliente 1680;ITU;SP;3523909;2;-1;14
1681;1;9;Cliente 1681;SÃO PAULO;SP;3550308;2;-1;14
1682;1;28;Cliente 1682;SÃO PAULO;SP;3550308;2;0;0
1683;1;9;Cliente 1683;SÃO PAULO;SP;3550308;2;-1;14
1684;1;4;Cliente 1684;UBATUBA;SP;3555406;2;0;0
1685;1;9;Cliente 1685;SÃO PAULO;SP;3550308;2;-1;7
1686;1;27;Cliente 1686;SÃO PAULO;SP;3550308;2;-1;14
1687;1;9;Cliente 1687;SÃO PAULO;SP;3550308;2;-1;14
1689;1;28;Cliente 1689;SÃO PAULO;SP;3550308;2;-1;14
1690;1;28;Cliente 1690;SÃO PAULO;SP;3550308;2;-1;14
1691;1;9;Cliente 1691;SÃO PAULO;SP;3550308;2;-1;7
1692;1;27;Cliente 1692;SÃO PAULO;SP;3550308;2;-1;14
1693;1;28;Cliente 1693;SÃO PAULO;SP;3550308;2;-1;14
1694;1;9;Cliente 1694;SÃO PAULO;SP;3550308;2;-1;14
1695;1;9;Cliente 1695;SÃO PAULO;SP;3550308;2;-1;14
1696;1;9;Cliente 1696;SÃO PAULO;SP;3550308;2;-1;14
1697;1;11;Cliente 1697;SÃO PAULO;SP;3550308;2;-1;14
1698;1;4;Cliente 1698;UBATUBA;SP;3555406;2;-1;14
1699;1;27;Cliente 1699;SÃO PAULO;SP;3550308;2;-1;14
1700;1;9;Cliente 1700;SÃO PAULO;SP;3550308;2;-1;21
1702;1;11;Cliente 1702;SÃO PAULO;SP;3550308;2;-1;14
1703;1;27;Cliente 1703;SÃO PAULO;SP;3550308;2;0;0
1704;1;27;Cliente 1704;SÃO PAULO;SP;3550308;2;-1;14
1705;1;9;Cliente 1705;SÃO PAULO;SP;3550308;2;0;10
1706;1;11;Cliente 1706;SÃO PAULO;SP;3550308;2;-1;14
1707;1;27;Cliente 1707;SÃO PAULO;SP;3550308;2;-1;7
1708;1;9;Cliente 1708;SÃO PAULO;SP;3550308;2;-1;14
1709;1;28;Cliente 1709;SÃO PAULO;SP;3550308;2;0;0
1710;1;28;Cliente 1710;SÃO PAULO;SP;3550308;2;-1;14
1711;1;11;Cliente 1711;SÃO PAULO;SP;3550308;2;-1;14
1712;1;28;Cliente 1712;SÃO PAULO;SP;3550308;2;-1;14
1715;1;9;Cliente 1715;SÃO PAULO;SP;3550308;2;-1;14
1717;1;28;Cliente 1717;SÃO PAULO;SP;3550308;2;-1;14
1718;1;27;Cliente 1718;SÃO PAULO;SP;3550308;2;-1;14
1719;1;28;Cliente 1719;SÃO PAULO;SP;3550308;2;-1;14
1720;1;9;Cliente 1720;SÃO PAULO;SP;3550308;2;-1;14
1721;1;9;Cliente 1721;SÃO PAULO;SP;3550308;2;-1;7
1722;1;28;Cliente 1722;SÃO PAULO;SP;3550308;2;-1;14
1723;1;27;Cliente 1723;SÃO PAULO;SP;3550308;2;-1;14
1724;1;9;Cliente 1724;SÃO PAULO;SP;3550308;2;-1;7
1725;1;28;Cliente 1725;SÃO PAULO;SP;3550308;2;-1;7
1728;1;27;Cliente 1728;SÃO PAULO;SP;3550308;2;0;0
1729;1;9;Cliente 1729;SÃO PAULO;SP;3550308;2;-1;14
1731;1;28;Cliente 1731;SÃO PAULO;SP;3550308;2;-1;14
1732;1;9;Cliente 1732;POA;SP;3539806;2;0;
1734;1;27;Cliente 1734;SÃO PAULO;SP;3550308;2;0;14
1735;1;30;Cliente 1735;SÃO PAULO;SP;3550308;2;-1;14
1736;1;27;Cliente 1736;SÃO PAULO;SP;3550308;2;-1;14
1737;1;28;Cliente 1737;SÃO PAULO;SP;3550308;2;-1;14
1738;1;9;Cliente 1738;SÃO PAULO;SP;3550308;2;-1;14
1740;1;9;Cliente 1740;SÃO PAULO;SP;3550308;2;-1;21
1741;1;9;Cliente 1741;SÃO PAULO;SP;3550308;2;-1;14
1742;1;9;Cliente 1742;SAO PAULO;SP;3550308;2;-1;14
1743;1;27;Cliente 1743;SÃO PAULO;SP;3550308;2;-1;14
1744;1;27;Cliente 1744;SÃO PAULO;SP;3550308;2;-1;14
1745;1;27;Cliente 1745;SÃO PAULO;SP;3550308;2;-1;14
1746;1;9;Cliente 1746;SÃO PAULO;SP;3550308;2;-1;14
1747;1;9;Cliente 1747;SÃO PAULO;SP;3550308;2;0;14
1748;1;9;Cliente 1748;SÃO PAULO;SP;3550308;2;-1;14
1749;1;9;Cliente 1749;SÃO PAULO;SP;3550308;2;0;14
1750;1;27;Cliente 1750;SÃO PAULO;SP;3550308;2;-1;14
1751;1;9;Cliente 1751;SÃO PAULO;SP;3550308;2;-1;14
1752;1;27;Cliente 1752;SÃO PAULO;SP;3550308;2;-1;14
1753;1;9;Cliente 1753;SÃO PAULO;SP;3550308;2;-1;5
1754;1;30;Cliente 1754;SÃO PAULO;SP;3550308;2;-1;14
1755;1;30;Cliente 1755;SÃO PAULO;SP;3550308;2;-1;14
1756;1;30;Cliente 1756;SÃO PAULO;SP;3550308;2;-1;14
1757;1;30;Cliente 1757;SÃO PAULO;SP;3550308;2;-1;14
1758;1;27;Cliente 1758;SÃO PAULO;SP;3550308;2;-1;14
1759;1;9;Cliente 1759;SÃO PAULO;SP;3550308;2;-1;20
1760;1;9;Cliente 1760;SÃO PAULO;SP;3550308;2;-1;14
1761;1;9;Cliente 1761;SÃO PAULO;SP;3550308;2;-1;7
1762;1;29;Cliente 1762;SÃO PAULO;SP;3550308;2;-1;14
1763;1;9;Cliente 1763;SÃO PAULO;SP;3550308;2;-1;21
1764;1;4;Cliente 1764;UBATUBA;SP;3555406;2;-1;14
1765;1;4;Cliente 1765;UBATUBA;SP;3555406;2;-1;28
1766;1;4;Cliente 1766;UBATUBA;SP;3555406;2;-1;21
1767;1;11;Cliente 1767;SÃO PAULO;SP;3550308;2;-1;14
1768;1;9;Cliente 1768;SÃO PAULO;SP;3550308;2;0;0
1769;1;11;Cliente 1769;SÃO PAULO;SP;3550308;2;-1;14
1771;1;9;Cliente 1771;SÃO PAULO;SP;3550308;2;0;0
1772;1;28;Cliente 1772;SÃO PAULO;SP;3550308;2;-1;14
1773;1;9;Cliente 1773;SÃO PAULO;SP;3550308;2;-1;14
1774;1;9;Cliente 1774;SÃO PAULO;SP;3550308;2;-1;14
1775;1;29;Cliente 1775;SÃO PAULO;SP;3550308;2;-1;14
1776;1;31;Cliente 1776;SÃO PAULO;SP;3550308;1;-1;14
1777;1;30;Cliente 1777;SÃO PAULO;SP;3550308;2;-1;14
1778;1;27;Cliente 1778;SÃO PAULO;SP;3550308;2;-1;21
1779;1;28;Cliente 1779;SÃO PAULO;SP;3550308;2;-1;14
1780;1;30;Cliente 1780;SÃO PAULO;SP;3550308;2;-1;14
1781;1;30;Cliente 1781;SÃO PAULO;SP;3550308;2;-1;14
1782;1;27;Cliente 1782;SÃO PAULO;SP;3550308;2;-1;7
1783;1;9;Cliente 1783;SÃO PAULO;SP;3550308;2;-1;14
1784;1;27;Cliente 1784;SÃO PAULO;SP;3550308;2;-1;14
1786;1;9;Cliente 1786;SÃO PAULO;SP;3550308;2;-1;14
1787;1;32;Cliente 1787;SÃO PAULO;SP;3550308;2;-1;14
1788;1;32;Cliente 1788;SÃO PAULO;SP;3550308;2;-1;14
1789;1;27;Cliente 1789;SÃO PAULO;SP;3550308;2;-1;14
1790;1;9;Cliente 1790;SÃO PAULO;SP;3550308;2;0;7
1791;1;27;Cliente 1791;SÃO PAULO;SP;3550308;2;-1;14
1792;1;9;Cliente 1792;SÃO PAULO;SP;3550308;2;-1;28
1793;1;9;Cliente 1793;SOROCABA;SP;3552205;2;-1;14
1794;1;30;Cliente 1794;SÃO PAULO;SP;3550308;2;-1;21
1795;1;9;Cliente 1795;SÃO PAULO;SP;3550308;2;-1;14
1796;1;9;Cliente 1796;BEBEDOURO;SP;3506102;2;0;0
1797;1;27;Cliente 1797;SÃO PAULO;SP;3550308;2;-1;14
1799;1;27;Cliente 1799;SÃO PAULO;SP;3550308;2;-1;21
1800;1;30;Cliente 1800;SÃO PAULO;SP;3550308;2;-1;14
1802;1;9;Cliente 1802;SÃO PAULO;SP;3550308;2;-1;14
1803;1;30;Cliente 1803;SÃO PAULO;SP;3550308;2;-1;14
1804;1;27;Cliente 1804;SÃO PAULO;SP;3550308;2;-1;14
1805;1;9;Cliente 1805;SÃO PAULO;SP;3550308;2;-1;19
1806;1;9;Cliente 1806;SÃO PAULO;SP;3550308;2;-1;14
1807;1;4;Cliente 1807;UBATUBA;SP;3555406;2;-1;14
1808;1;29;Cliente 1808;SÃO PAULO;SP;3550308;2;-1;14
1809;1;9;Cliente 1809;SÃO PAULO;SP;3550308;2;0;0
1810;1;9;Cliente 1810;SÃO PAULO;SP;3550308;2;-1;14
1811;1;4;Cliente 1811;UBATUBA;SP;3555406;2;-1;14
1812;1;27;Cliente 1812;SAO PAULO;SP;3550308;2;-1;14
1813;1;3;Cliente 1813;UBATUBA;SP;3555406;2;-1;14
1814;1;27;Cliente 1814;SÃO PAULO;SP;3550308;2;0;14
1815;1;9;Cliente 1815;SÃO PAULO;SP;3550308;2;-1;19
1816;1;9;Cliente 1816;SÃO PAULO;SP;3550308;2;-1;14
1817;1;27;Cliente 1817;SÃO PAULO;SP;3550308;2;-1;14
1819;1;28;Cliente 1819;SÃO PAULO;SP;3550308;2;-1;21
1820;1;28;Cliente 1820;SÃO PAULO;SP;3550308;2;-1;14
1821;1;9;Cliente 1821;SÃO PAULO;SP;3550308;2;0;0
1822;1;27;Cliente 1822;SÃO PAULO;SP;3550308;2;-1;14
1823;1;9;Cliente 1823;SÃO PAULO;SP;3550308;2;-1;14
1824;1;30;Cliente 1824;SÃO PAULO;SP;3550308;2;-1;21
1825;1;9;Cliente 1825;SÃO PAULO;SP;3550308;2;-1;14
1826;1;9;Cliente 1826;SÃO PAULO;SP;3550308;2;-1;14
1827;1;9;Cliente 1827;SÃO PAULO;SP;3550308;2;-1;14
1828;1;11;Cliente 1828;SÃO PAULO;SP;3550308;2;-1;14
1829;1;28;Cliente 1829;SÃO PAULO;SP;3550308;2;-1;7
1831;1;4;Cliente 1831;UBATUBA;SP;3555406;1;-1;14
1832;1;9;Cliente 1832;UBATUBA;SP;3555406;2;-1;21
1834;1;29;Cliente 1834;SÃO PAULO;SP;3550308;2;-1;14
1835;1;9;Cliente 1835;SÃO PAULO;SP;3550308;2;-1;14
1836;1;27;Cliente 1836;SÃO PAULO;SP;3550308;2;-1;14
1837;1;31;Cliente 1837;SÃO PAULO;SP;3550308;2;0;0
1838;1;28;Cliente 1838;SÃO PAULO;SP;3550308;2;-1;14
1839;1;9;Cliente 1839;SÃO PAULO;SP;3550308;2;-1;7
1841;1;9;Cliente 1841;SÃO PAULO;SP;3550308;2;-1;14
1842;1;27;Cliente 1842;SÃO PAULO;SP;3550308;2;-1;14
1843;1;9;Cliente 1843;SÃO PAULO;SP;3550308;2;-1;14
1845;1;9;Cliente 1845;SÃO PAULO;SP;3550308;2;-1;14
1846;1;11;Cliente 1846;SÃO PAULO;SP;3550308;2;-1;14
1848;1;9;Cliente 1848;SÃO PAULO;SP;3550308;2;-1;14
1849;1;28;Cliente 1849;SÃO PAULO;SP;3550308;2;-1;14
1850;1;9;Cliente 1850;SÃO PAULO;SP;3550308;2;-1;14
1852;1;11;Cliente 1852;SÃO PAULO;SP;3550308;2;-1;14
1853;1;9;Cliente 1853;SÃO PAULO;SP;3550308;2;-1;14
1854;1;27;Cliente 1854;SÃO PAULO;SP;3550308;2;-1;10
1855;1;9;Cliente 1855;SÃO PAULO;SP;3550308;2;0;21
1856;1;27;Cliente 1856;SÃO PAULO;SP;3550308;2;-1;14
1857;1;4;Cliente 1857;UBATUBA;SP;3555406;2;-1;14
1858;1;9;Cliente 1858;SÃO PAULO;SP;3550308;2;-1;7
1859;1;9;Cliente 1859;SÃO PAULO;SP;3550308;2;-1;14
1860;1;27;Cliente 1860;SÃO PAULO;SP;3550308;2;-1;14
1861;1;31;Cliente 1861;UBATUBA;SP;3555406;2;-1;14
1862;1;9;Cliente 1862;SÃO PAULO;SP;3550308;2;-1;14
1863;1;27;Cliente 1863;SÃO PAULO;SP;3550308;2;-1;14
1864;1;9;Cliente 1864;SÃO PAULO;SP;3550308;2;-1;14
1865;1;27;Cliente 1865;SÃO PAULO;SP;3550308;2;-1;7
1866;1;9;Cliente 1866;SÃO PAULO;SP;3550308;2;-1;14
1867;1;9;Cliente 1867;SÃO PAULO;SP;3550308;2;-1;14
1868;1;9;Cliente 1868;ILHABELA;SP;3520400;2;-1;14
1869;1;4;Cliente 1869;UBATUBA;SP;3555406;2;-1;14
1870;1;9;Cliente 1870;SÃO PAULO;SP;3550308;2;-1;14
1871;1;28;Cliente 1871;SÃO PAULO;SP;3550308;2;-1;21
1872;1;11;Cliente 1872;SÃO PAULO;SP;3550308;2;-1;14
1873;1;9;Cliente 1873;SÃO PAULO;SP;3550308;2;-1;28
1874;1;9;Cliente 1874;SÃO PAULO;SP;3550308;2;-1;14
1875;1;28;Cliente 1875;SÃO PAULO;SP;3550308;2;-1;14
1876;1;27;Cliente 1876;SÃO PAULO;SP;3550308;2;-1;14
1877;1;30;Cliente 1877;SÃO PAULO;SP;3550308;2;-1;14
1878;1;9;Cliente 1878;SÃO PAULO;SP;3550308;2;-1;14
1879;1;27;Cliente 1879;SÃO PAULO;SP;3550308;2;-1;7
1881;1;27;Cliente 1881;SÃO PAULO;SP;3550308;2;-1;14
1882;1;9;Cliente 1882;SÃO PAULO;SP;3550308;2;-1;14
1883;1;9;Cliente 1883;SÃO PAULO;SP;3550308;2;-1;14
1884;1;9;Cliente 1884;SÃO PAULO;SP;3550308;2;-1;14
1885;1;29;Cliente 1885;SÃO PAULO;SP;3550308;2;-1;21
1886;1;29;Cliente 1886;SÃO PAULO;SP;3550308;2;-1;21
1887;1;27;Cliente 1887;SÃO PAULO;SP;3550308;2;-1;14
1888;1;9;Cliente 1888;SÃO PAULO;SP;3550308;2;-1;14
1889;1;9;Cliente 1889;SÃO PAULO;SP;3550308;2;0;
1890;1;9;Cliente 1890;SÃO PAULO;SP;3550308;2;-1;14
1892;1;11;Cliente 1892;SÃO PAULO;SP;3550308;2;-1;14
1894;1;9;Cliente 1894;SÃO PAULO;SP;3550308;2;-1;14
1895;1;9;Cliente 1895;SÃO PAULO;SP;3550308;2;-1;14
1896;1;9;Cliente 1896;SÃO PAULO;SP;3550308;2;-1;14
1897;1;9;Cliente 1897;SÃO PAULO;SP;3550308;2;-1;14
1898;1;9;Cliente 1898;SÃO PAULO;SP;3550308;2;-1;14
1899;1;9;Cliente 1899;SÃO PAULO;SP;3550308;2;-1;14
1900;1;27;Cliente 1900;SÃO PAULO;SP;3550308;2;-1;14
1901;1;27;Cliente 1901;SÃO PAULO;SP;3550308;2;-1;14
1902;1;27;Cliente 1902;SÃO PAULO;SP;3550308;2;-1;14
1903;1;11;Cliente 1903;SÃO PAULO;SP;3550308;2;-1;14
1905;1;27;Cliente 1905;SÃO PAULO;SP;3550308;2;-1;14
1907;1;9;Cliente 1907;SÃO PAULO;SP;3550308;2;0;0
1909;1;27;Cliente 1909;SÃO PAULO;SP;3550308;2;-1;10
1910;1;27;Cliente 1910;SÃO PAULO;SP;3550308;2;-1;14
1911;1;9;Cliente 1911;BARUERI;SP;3505708;2;0;0
1912;1;27;Cliente 1912;SÃO PAULO;SP;3550308;2;-1;14
1913;1;9;Cliente 1913;SÃO PAULO;SP;3550308;2;-1;14
1914;1;28;Cliente 1914;SÃO PAULO;SP;3550308;2;-1;7
1915;1;27;Cliente 1915;SAO PAULO;SP;3550308;2;0;14
1917;1;9;Cliente 1917;SÃO PAULO;SP;3550308;2;-1;14
1918;1;9;Cliente 1918;SÃO PAULO;SP;3550308;2;-1;14
1919;1;9;Cliente 1919;SÃO PAULO;SP;3550308;2;-1;14
1920;1;28;Cliente 1920;SÃO PAULO;SP;3550308;2;-1;14
1921;1;27;Cliente 1921;SÃO PAULO;SP;3550308;2;-1;7
1922;1;9;Cliente 1922;SÃO PAULO;SP;3550308;2;-1;14
1923;1;27;Cliente 1923;SÃO PAULO;SP;3550308;2;-1;14
1924;1;9;Cliente 1924;SÃO PAULO;SP;3550308;2;-1;14
1925;1;9;Cliente 1925;SÃO PAULO;SP;3550308;2;0;0
1926;1;9;Cliente 1926;SÃO PAULO;SP;3550308;2;-1;14
1927;1;9;Cliente 1927;SÃO PAULO;SP;3550308;2;-1;10
1928;1;27;Cliente 1928;SÃO PAULO;SP;3550308;2;-1;14
1929;1;9;Cliente 1929;SÃO PAULO;SP;3550308;2;0;14
1930;1;9;Cliente 1930;SÃO PAULO;SP;3550308;2;-1;7
1931;1;28;Cliente 1931;SÃO PAULO;SP;3550308;2;0;0
1932;1;9;Cliente 1932;SÃO PAULO;SP;3550308;2;-1;14
1933;1;9;Cliente 1933;SÃO PAULO;SP;3550308;2;-1;14
1934;1;11;Cliente 1934;SÃO PAULO;SP;3550308;2;-1;14
1935;1;9;Cliente 1935;SÃO PAULO;SP;3550308;2;0;14
1936;1;9;Cliente 1936;SÃO PAULO;SP;3550308;2;-1;14
1937;1;27;Cliente 1937;SÃO PAULO;SP;3550308;2;-1;14
1938;1;9;Cliente 1938;SÃO PAULO;SP;3550308;2;-1;14
1939;1;9;Cliente 1939;SÃO PAULO;SP;3550308;2;-1;14
1940;1;27;Cliente 1940;SÃO PAULO;SP;3550308;2;-1;7
1942;1;9;Cliente 1942;SÃO PAULO;SP;3550308;2;-1;7
1943;1;9;Cliente 1943;SÃO PAULO;SP;3550308;2;-1;14
1945;1;9;Cliente 1945;SÃO PAULO;SP;3550308;2;-1;14
1946;1;4;Cliente 1946;UBATUBA;SP;355406;1;0;0
1947;1;9;Cliente 1947;SÃO PAULO;SP;3550308;2;0;0
1948;1;28;Cliente 1948;SÃO PAULO;SP;3550308;2;-1;14
1949;1;9;Cliente 1949;SÃO PAULO;SP;3550308;2;-1;14
1950;1;27;Cliente 1950;SÃO PAULO;SP;3550308;2;-1;14
1951;1;30;Cliente 1951;SÃO PAULO;SP;3550308;2;-1;14
1952;1;9;Cliente 1952;SÃO PAULO;SP;3550308;2;-1;14
1953;1;9;Cliente 1953;SÃO PAULO;SP;3550308;2;0;14
1954;1;11;Cliente 1954;SÃO PAULO;SP;3550308;2;-1;14
1955;1;9;Cliente 1955;SÃO PAULO;SP;3550308;2;-1;14
1956;1;11;Cliente 1956;SÃO PAULO;SP;3550308;2;-1;14
1957;1;9;Cliente 1957;SÃO PAULO;SP;3550308;2;-1;14
1958;1;9;Cliente 1958;SÃO PAULO;SP;3550308;2;-1;14
1959;1;30;Cliente 1959;SÃO PAULO;SP;3550308;2;-1;14
1961;1;30;Cliente 1961;SÃO PAULO;SP;3550308;2;-1;14
1962;1;27;Cliente 1962;SÃO PAULO;SP;3550308;2;-1;14
1963;1;3;Cliente 1963;UBATUBA;SP;3555406;2;-1;14
1964;1;9;Cliente 1964;SÃO PAULO;SP;3550308;2;-1;10
1965;1;32;Cliente 1965;SÃO PAULO;SP;3550308;2;-1;7
1968;1;32;Cliente 1968;SÃO PAULO;SP;3550308;2;-1;14
1969;1;28;Cliente 1969;SÃO PAULO;SP;3550308;2;-1;7
1970;1;11;Cliente 1970;SÃO PAULO;SP;3550308;2;-1;14
1971;1;3;Cliente 1971;UBATUBA;SP;3555406;2;0;0
1972;1;9;Cliente 1972;UBATUBa;;3555406;2;0;0
1973;1;11;Cliente 1973;SÃO PAULO;SP;3550308;2;0;14
1975;1;30;Cliente 1975;SÃO PAULO;SP;3550308;2;-1;14
1976;1;9;Cliente 1976;SÃO PAULO;SP;3550308;2;-1;14
1977;1;30;Cliente 1977;SÃO PAULO;SP;3550308;2;-1;14
1978;1;9;Cliente 1978;SÃO PAULO;SP;3550308;2;-1;7
1979;1;29;Cliente 1979;SÃO PAULO;SP;3550308;2;-1;21
1980;1;11;Cliente 1980;SÃO PAULO;SP;3550308;2;0;14
1981;1;11;Cliente 1981;SÃO PAULO;SP;3550308;2;-1;14
1982;1;9;Cliente 1982;SÃO PAULO;SP;3550308;2;-1;14
1983;1;9;Cliente 1983;SÃO PAULO;SP;3550308;2;-1;14
1984;1;9;Cliente 1984;SÃO PAULO;SP;3550308;2;-1;7
1985;1;9;Cliente 1985;SÃO PAULO;SP;3550308;2;-1;7
1986;1;4;Cliente 1986;UBATUBA;SP;3555406;1;-1;14
1987;1;3;Cliente 1987;UBATUBA;SP;3555406;1;0;14
1988;1;4;Cliente 1988;UBATUBA;SP;3555406;2;-1;14
1989;1;27;Cliente 1989;SÃO PAULO;SP;3550308;2;-1;7
1991;1;9;Cliente 1991;ITU;SP;3523909;2;-1;14
1992;1;9;Cliente 1992;SAO PAULO;SP;3550308;2;0;
1993;1;28;Cliente 1993;SAO PAULO;SP;3550308;2;0;0
1994;1;27;Cliente 1994;SÃO PAULO;SP;3550308;2;-1;14
1995;1;9;Cliente 1995;SÃO PAULO;SP;3550308;2;-1;14
1996;1;9;Cliente 1996;SÃO PAULO;SP;3550308;2;0;0
1997;1;27;Cliente 1997;SÃO PAULO;SP;3550308;2;-1;14
1998;1;27;Cliente 1998;SÃO PAULO;SP;3550308;2;-1;14
1999;1;27;Cliente 1999;SÃO PAULO;SP;3550308;2;-1;7
2000;1;9;Cliente 2000;SÃO PAULO;SP;3550308;2;0;
2001;1;4;Cliente 2001;UBATUBA;SP;3555406;2;-1;14
2002;1;9;Cliente 2002;SÃO PAULO;SP;3550308;2;-1;14
2003;1;27;Cliente 2003;SÃO PAULO;SP;3550308;2;-1;14
2004;1;9;Cliente 2004;SÃO PAULO;SP;3550308;2;-1;14
2005;1;30;Cliente 2005;SÃO PAULO;SP;3550308;2;-1;14
2006;1;9;Cliente 2006;SÃO PAULO;SP;3550308;2;-1;14
2007;1;27;Cliente 2007;SÃO PAULO;SP;3550308;2;-1;14
2009;1;9;Cliente 2009;SÃO PAULO;;3550308;2;0;0
2010;1;9;Cliente 2010;SÃO PAULO;SP;3550308;2;-1;28
2011;1;9;Cliente 2011;SÃO PAULO;SP;3550308;2;-1;14
2012;1;9;Cliente 2012;SAO PAULO;SP;3550308;2;-1;28
2013;1;11;Cliente 2013;SÃO PAULO;SP;3550308;2;0;14
2014;1;4;Cliente 2014;UBATUBA;SP;3555406;2;0;0
2015;1;27;Cliente 2015;SÃO PAULO;SP;3550308;2;-1;7
2016;1;27;Cliente 2016;SÃO PAULO;SP;3550308;2;0;0
2017;1;9;Cliente 2017;SÃO PAULO;SP;3550308;2;0;0
2018;1;27;Cliente 2018;SÃO PAULO;SP;3550308;2;-1;28
2019;1;9;Cliente 2019;SÃO PAULO;SP;3550308;2;-1;21
2020;1;9;Cliente 2020;SÃO PAULO;SP;3550308;2;-1;20
2021;1;9;Cliente 2021;SÃO PAULO;SP;3550308;2;0;14
2022;1;9;Cliente 2022;SÃO PAULO;SP;3550308;2;-1;14
2024;1;9;Cliente 2024;SÃO PAULO;SP;3550308;2;-1;14
2025;1;27;Cliente 2025;SÃO PAULO;SP;3550308;2;-1;14
2026;1;9;Cliente 2026;SÃO PAULO;SP;3550308;2;0;28
2027;1;30;Cliente 2027;SÃO PAULO;SP;3550308;2;-1;14
